"country","city","long","lat","isp","network","dOs","dType","dOsVersion","dBrowser","dBrowserVersion","offer"
ID,Makassar,119.437,-5.152,PT. Telekomunikasi Selular,114.120.0.0/13,Android,mobile,5.0.2,UCBrowser,11.3.8.976,2
PE,Lima,-77.0428,-12.0464,America Movil Peru S.A.C.,190.113.192.0/19,Android,mobile,5.1,Chrome,65.0.3325.109,2
TH,Ban Yang Sam Ton,101.003,15.5027,Total Access Communication PLC.,1.46.0.0/15,Android,mobile,7.1.1,Android Browser,4.0,1
CH,Chatonnaye,6.9323,46.7526,Bluewin,178.192.0.0/13,Android,mobile,7.0,Chrome,64.0.3282.137,1
AR,Buenos Aires,-58.3845,-34.6022,Telecom Argentina S.A.,181.13.64.0/18,Windows Phone,mobile,8.1,IEMobile,11.0,2
US,Brooklyn,-73.9235,40.7035,T-MOBILE-AS21928,172.56.0.0/14,Android,mobile,7.0,Chrome WebView,60.0.3112.116,1
LK,Raddolugama,79.9023,7.1402,"234, Galle Road, Colombo 4",103.21.164.0/22,Android,mobile,4.4.2,Android Browser,4.0,2
KE,Nairobi,36.8155,-1.2841,JAMBONET,154.122.0.0/15,Android,mobile,6.0,Chrome WebView,64.0.3282.137,1
EG,Cairo,31.2852,30.0778,RAYA Telecom - Egypt,41.68.0.0/15,Android,mobile,5.1.1,Chrome,65.0.3325.109,2
PK,Lahore,74.3292,31.5822,Plot No 181-186 Street,43.245.8.0/22,Android,mobile,4.4.2,Chrome,65.0.3325.109,2
AE,Dubai,55.3087,25.2633,Emirates Integrated Telecommunications Company PJSC,5.30.0.0/15,Android,mobile,5.0.1,Chrome WebView,65.0.3325.109,1
PT,Cacem,-9.3006,38.7677,"Nos Comunicacoes, S.A.",95.92.0.0/14,Windows,desktop,10,Chrome,65.0.3325.181,2
MA,Salé,-6.8175,34.0347,MAROCCONNECT,105.64.0.0/13,Android,mobile,7.1.1,Chrome WebView,65.0.3325.109,2
GH,Accra,-0.2174,5.5502,VODAFONE GHANA AS INTERNATIONAL TRANSIT,41.66.192.0/18,Android,mobile,7.0,Chrome,60.0.3112.116,2
PL,Bydgoszcz,18.0182,53.1353,Play,94.254.128.0/17,Android,mobile,6.0,Chrome WebView,65.0.3325.109,1
LB,Beirut,35.5089,33.874,,,Android,mobile,7.0,Chrome WebView,65.0.3325.109,1
UA,Kyiv,30.5303,50.458,Kyivstar PJSC,46.211.0.0/16,Android,mobile,5.1,Chrome WebView,65.0.3325.109,1
TH,Bang Khun Thian,100.4638,13.6984,Advance Wireless Network,182.232.0.0/17,Android,mobile,5.1,Android Browser,4.0,2
HN,Tegucigalpa,-87.2144,14.1033,CABLECOLOR S.A.,143.208.16.0/22,Android,mobile,7.0,Chrome,65.0.3325.109,2
KE,Nairobi,36.8155,-1.2841,Liquid Telecommunications Ltd,41.60.232.0/21,Android,mobile,7.0,Chrome,65.0.3325.109,1
PE,Arequipa,-71.5343,-16.4014,Telefonica del Peru S.A.A.,190.232.0.0/13,Android,mobile,4.4.2,Android Browser,4.0,1
NL,Amsterdam,4.8802,52.3564,KPN B.V.,31.160.0.0/15,Android,mobile,8.0.0,Chrome WebView,65.0.3325.109,1
NP,Beltar,82.8713,27.8022,"Subisu Cablenet Pvt Ltd, Baluwatar, Kathmandu, Nepal",103.232.152.0/22,Android,mobile,6.0.1,Chrome,60.0.3112.107,1
AR,Garin,-58.764,-34.4261,Telecom Argentina S.A.,181.88.0.0/14,Windows,desktop,10,Chrome,65.0.3325.181,1
PE,Lima,-77.0428,-12.0464,America Movil Peru S.A.C.,190.113.192.0/19,Android,mobile,5.1,Chrome,65.0.3325.109,2
IT,Acquaviva,11.8676,43.117,Vodafone Italia S.p.A.,2.40.0.0/13,Android,tablet,4.4.2,Chrome,30.0.0.0,2
PE,Trujillo,-79.0355,-8.1191,America Movil Peru S.A.C.,179.6.0.0/15,Android,mobile,6.0.1,Chrome,65.0.3325.109,2
KE,Kiambu,36.8373,-1.1634,WANANCHI,197.237.0.0/16,Android,mobile,5.1.1,Chrome,65.0.3325.109,1
US,West Valley City,-111.9999,40.6981,T-MOBILE-AS21928,172.56.0.0/14,Android,mobile,6.0.1,Chrome WebView,65.0.3325.109,2
NL,Rotterdam,4.5026,51.8867,T-mobile Netherlands B.V.,84.241.192.0/18,iOS,mobile,11.2.6,Mobile Safari,11.0,1
IN,Sivakasi,77.795,9.4463,Bharti Airtel Ltd. AS for GPRS Service,223.181.192.0/19,Android,mobile,6.0,UCBrowser,12.2.5.1102,2
SA,Riyadh,46.7179,24.6569,"Etihad Etisalat, a joint stock company",46.153.0.0/17,Android,mobile,7.1.1,Chrome,65.0.3325.109,2
DZ,Oran,-0.6472,35.6877,Telecom Algeria,41.96.0.0/12,Android,mobile,5.1,Chrome WebView,46.0.2490.76,2
QA,Doha,51.5321,25.2925,Ooredoo Q.S.C.,89.211.128.0/17,Android,mobile,6.0.1,Chrome,65.0.3325.109,1
ZA,East London,27.9159,-33.0354,MTN Business Solutions,41.114.0.0/16,Android,tablet,4.4.4,Chrome,65.0.3325.109,1
GH,Accra,-0.2174,5.5502,VODAFONE GHANA AS INTERNATIONAL TRANSIT,41.66.192.0/18,Android,mobile,5.1.1,Facebook,167.0.0.42.94,1
ZA,Pretoria,28.2604,-25.7599,VODACOM,41.13.64.0/18,Android,mobile,7.0,Chrome,65.0.3325.109,2
MA,Meknes,-5.5396,33.8916,MAROCCONNECT,105.64.0.0/13,Android,mobile,4.2.2,Android Browser,4.0,1
PL,Warsaw,21.0026,52.2484,T-Mobile Polska S.A.,188.146.0.0/15,Android,mobile,7.0,Chrome WebView,65.0.3325.109,1
QA,Doha,51.5321,25.2925,Ooredoo Q.S.C.,176.202.160.0/19,Android,mobile,7.0,Chrome,65.0.3325.109,2
KE,Nairobi,36.8155,-1.2841,Kenya Education Network,41.89.0.0/16,Android,mobile,6.0,Chrome,65.0.3325.109,2
US,Visalia,-119.3007,36.3528,ATT-INTERNET4,71.133.0.0/16,Windows,desktop,8.1,Firefox,58.0,1
TN,Kasserine,8.8341,35.1668,TUNISIANA,154.104.0.0/13,Android,mobile,4.4.2,Chrome,65.0.3325.109,1
DZ,Bordj Bou Arreridj,4.7727,36.0721,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,4.2.2,Android Browser,4.0,1
KE,Nairobi,36.8155,-1.2841,JTL,197.232.0.0/16,Android,mobile,5.1.1,Samsung Browser,3.5,2
CI,Abidjan,-4.0124,5.3072,ORANGE-COTE-IVOIRE,41.66.0.0/18,Android,mobile,6.0,Chrome WebView,44.0.2403.119,1
NG,Lagos,3.3903,6.4474,MTN NIGERIA Communication limited,197.210.0.0/16,Android,mobile,7.0,Chrome,63.0.3239.111,2
IT,Florence,11.2356,43.7891,Vodafone Italia S.p.A.,5.88.0.0/13,Android,mobile,5.1.1,Chrome,60.0.3112.116,2
US,Dallas,-96.8367,32.7537,T-MOBILE-AS21928,172.56.0.0/14,Android,mobile,7.0,Chrome WebView,65.0.3325.109,2
ES,Abrera,1.8982,41.5139,Telefonica De Espana,79.144.0.0/12,Android,mobile,7.1.1,Chrome,65.0.3325.109,1
BY,Minsk,27.5709,53.9007,BeST CJSC,5.100.192.0/19,Android,mobile,6.0,Chrome WebView,65.0.3325.109,2
CL,Quilpué,-71.4497,-33.042,VTR BANDA ANCHA S.A.,186.156.0.0/16,Android,mobile,6.0,Chrome,50.0.2661.89,2
YE,Sanaa,44.2095,15.3522,Public Telecommunication Corporation,109.200.160.0/19,Android,mobile,5.1.1,Samsung Browser,3.5,1
LB,Sidon,35.3649,33.5646,Masco Group LLC,78.40.176.0/21,Android,mobile,5.1.1,Chrome,63.0.3239.111,2
CU,Havana,-82.3594,23.1332,"Empresa de Telecomunicaciones de Cuba, S.A.",152.206.0.0/15,Android,mobile,5.1.1,Chrome,65.0.3325.109,1
PL,Sleza,16.9884,51.0341,Play,94.254.128.0/17,Android,mobile,6.0.1,Chrome WebView,65.0.3325.109,2
VN,Can Tho,105.7808,10.0359,SaiGon Tourist cable Televition Company,112.197.0.0/16,Android,mobile,6.0,Android Browser,6.0,2
AE,Sharjah,55.405,25.3569,Emirates Telecommunications Corporation,31.215.0.0/16,Android,mobile,6.0.1,Chrome,65.0.3325.109,2
IT,Turin,7.6639,45.0914,Vodafone Italia S.p.A.,5.88.0.0/13,Android,tablet,4.4.2,Chrome,62.0.3202.84,2
IT,Florence,11.2356,43.7891,Vodafone Italia S.p.A.,5.88.0.0/13,Android,mobile,4.4.4,Chrome,63.0.3239.111,2
DZ,Algiers,3.0905,36.7295,Telecom Algeria,105.96.0.0/12,Android,mobile,4.4.2,Android Browser,4.0,1
NL,Rotterdam,4.5016,51.9083,KPN B.V.,31.160.0.0/15,Android,mobile,5.1,Chrome WebView,61.0.3163.98,1
QA,Doha,51.5321,25.2925,Ooredoo Q.S.C.,78.101.64.0/19,Android,mobile,5.0.2,Chrome,65.0.3325.109,2
DZ,Sidi Aich,4.6836,36.6085,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,4.2.1,Chrome,38.0.1025.166,2
IR,Tehran,51.3336,35.727,Rightel Communication Service Company PJS,5.72.0.0/15,Android,mobile,7.0,Samsung Browser,5.2,1
MY,Kuala Lumpur,101.7034,3.1685,DiGi Telecommunications Sdn. Bhd.,115.164.0.0/16,Android,mobile,6.0,Android Browser,4.0,1
TN,Tunis,10.1778,36.8049,Tunisie-Telecom,197.8.0.0/15,Android,mobile,4.4.2,Chrome,40.0.2214.109,2
DZ,Algiers,3.0459,36.7624,wataniya-telecom-as,105.235.128.0/20,Android,mobile,7.0,Chrome,58.0.3029.83,1
PE,Lima,-77.0428,-12.0464,Telefonica del Peru S.A.A.,190.232.0.0/13,Android,mobile,7.0,Chrome,65.0.3325.109,1
MA,Marrakesh,-8.0101,31.6298,MAROCCONNECT,105.64.0.0/13,Android,mobile,6.0,Chrome WebView,65.0.3325.109,1
IN,Lucknow,80.9115,26.8756,Reliance Jio Infocomm Limited,47.8.0.0/15,Android,mobile,7.1.2,UCBrowser,12.0.0.1088,2
ZM,Lusaka,28.287,-15.4183,MTN Zambia,41.223.116.0/22,Android,mobile,4.4.2,Chrome,40.0.2214.109,1
MA,Casablanca,-7.6184,33.5922,MAROCCONNECT,105.64.0.0/13,Android,mobile,6.0,Chrome WebView,61.0.3163.98,2
CL,Santiago,-70.6653,-33.4513,WOM S.A.,201.219.232.0/21,Android,mobile,5.1.1,Chrome,64.0.3282.123,1
AE,Dubai,55.3087,25.2633,Emirates Telecommunications Corporation,176.204.0.0/15,Android,mobile,6.0.1,Chrome,64.0.3282.137,1
AE,Abu Dhabi,54.363,24.4638,Emirates Telecommunications Corporation,217.164.0.0/15,Android,mobile,6.0,Chrome,65.0.3325.109,1
NG,Jos,8.8991,9.9203,Celtel Nigeria Limited t.a ZAIN,105.112.64.0/18,Android,mobile,6.0,Android Browser,4.0,2
MA,Casablanca,-7.6184,33.5922,MAROCCONNECT,105.64.0.0/13,Android,mobile,6.0,Chrome WebView,63.0.3239.111,2
DZ,Algiers,3.0905,36.7295,Telecom Algeria,105.96.0.0/12,Android,mobile,5.0.2,Android Browser,4.0,1
NP,Kathmandu,85.3145,27.7142,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,5.0.1,Chrome,65.0.3325.109,1
PK,Faisalabad,73.0336,31.3709,Pakistan Telecommunication Company Limited,39.40.0.0/13,Android,mobile,5.1,Chrome,65.0.3325.109,1
MA,Meknes,-5.5396,33.8916,MAROCCONNECT,105.64.0.0/13,Android,mobile,4.1.2,Chrome,30.0.1599.82,1
ID,Pekan Baru,100.4993,1.0111,PT. Telekomunikasi Selular,114.120.0.0/13,Android,mobile,5.1,UCBrowser,12.2.0.1089,2
VN,Ho Chi Minh City,106.6581,10.8326,FPT Telecom Company,42.114.0.0/16,Android,mobile,5.0.2,Chrome,65.0.3325.109,2
NL,Loosdrecht,5.1133,52.2,Vodafone Libertel B.V.,62.140.128.0/20,Android,desktop,5.1,Chrome WebView,64.0.3282.137,2
MA,Meknes,-5.5396,33.8916,MAROCCONNECT,105.64.0.0/13,Android,mobile,6.0,Chrome,50.0.2661.89,1
KE,Nairobi,36.8155,-1.2841,JTL,41.222.8.0/21,Android,mobile,5.1,Chrome,43.0.2357.93,2
MA,Meknes,-5.5396,33.8916,MAROCCONNECT,105.64.0.0/13,Android,mobile,4.4.2,Android Browser,4.0,1
LB,Beirut,35.5089,33.874,Masco Group LLC,185.99.32.0/23,Android,mobile,5.1.1,Chrome,55.0.2883.91,1
NP,Panauti,85.5145,27.5885,"Nepal Telecommunications Corporation, Internet Services",49.244.0.0/16,Android,mobile,5.1,Chrome WebView,50.0.2661.86,1
SA,Jeddah,39.2192,21.5168,Mobile Telecommunication Company Saudi Arabia Joint-Stock company,51.39.160.0/20,Android,mobile,7.0,Chrome,65.0.3325.109,2
SA,Riyadh,46.7179,24.6569,"Etihad Etisalat, a joint stock company",46.153.0.0/17,Android,mobile,7.0,Chrome,65.0.3325.109,2
TZ,Dar es Salaam,39.2847,-6.7963,airtel-tz-as,41.75.208.0/20,Android,mobile,5.1,Chrome,46.0.2490.76,1
ID,Jakarta,106.8296,-6.1741,PT Telekomunikasi Indonesia,36.80.0.0/12,Android,mobile,6.0.1,Chrome,55.0.2883.91,1
DZ,Oran,-0.6472,35.6877,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,5.1,Chrome,46.0.2490.76,2
SA,Sayhat,50.0444,26.4846,"Etihad Etisalat, a joint stock company",37.121.128.0/17,Android,mobile,7.0,Chrome,64.0.3282.137,2
KE,Nairobi,36.8155,-1.2841,Liquid Telecommunications Ltd,41.60.232.0/21,Android,mobile,5.1.1,Opera,37.0.2192.110129,1
ES,Seville,-5.9707,37.3831,Vodafone Spain,31.4.0.0/16,Android,mobile,6.0.1,Chrome WebView,65.0.3325.109,2
NP,Kathmandu,85.3145,27.7142,"Nepal Telecommunications Corporation, Internet Services",49.244.0.0/16,Android,mobile,5.1.1,Chrome,65.0.3325.109,1
NP,Kathmandu,85.3145,27.7142,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,5.1.1,Chrome,65.0.3325.109,1
CL,La Calera,-71.1973,-32.78,Telmex Servicios Empresariales S.A.,186.20.0.0/15,Android,mobile,7.0,Chrome,65.0.3325.109,2
MA,Meknes,-5.5396,33.8916,MAROCCONNECT,105.64.0.0/13,Android,mobile,7.0,Chrome WebView,65.0.3325.109,1
FI,Espoo,24.6455,60.205,Telia Finland Oyj,93.106.0.0/16,Android,mobile,7.0,Chrome,65.0.3325.109,1
DZ,Tiaret,1.3045,35.372,Telecom Algeria,41.96.0.0/12,Android,mobile,5.1.1,Chrome,67.0.3393.2,1
KE,Nairobi,36.8155,-1.2841,Kenya Education Network,41.89.0.0/16,Android,mobile,7.0,Chrome,58.0.3029.83,2
GH,Accra,-0.2174,5.5502,VODAFONE GHANA AS INTERNATIONAL TRANSIT,41.66.192.0/18,Android,mobile,7.0,Facebook,133.0.0.17.83,2
DZ,Algiers,3.0905,36.7295,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,6.0,Chrome WebView,51.0.2704.81,2
SA,Khobar,50.208,26.2849,"Etihad Etisalat, a joint stock company",178.80.0.0/16,Android,mobile,6.0,Chrome,65.0.3325.109,2
KE,Nairobi,36.8155,-1.2841,JAMBONET,154.122.0.0/15,Android,desktop,,Opera Mini,32.0.2254,2
MA,Kenitra,-6.5821,34.2619,Itissalat Al-MAGHRIB,105.140.0.0/14,Android,mobile,5.1.1,Chrome,55.0.2883.91,2
CZ,Sobechleby,17.6472,49.4815,Vodafone Czech Republic a.s.,46.135.0.0/16,Android,mobile,7.0,Chrome,65.0.3325.109,1
SA,Ta'if,40.4191,21.2741,"Etihad Etisalat, a joint stock company",5.108.0.0/14,Android,mobile,6.0.1,Chrome,50.0.2661.89,2
LB,Sidon,35.3649,33.5646,Masco Group LLC,78.40.176.0/21,Android,mobile,4.1.2,Android Browser,4.0,1
AZ,Baku,49.8759,40.3909,Bakcell LLC,5.44.32.0/21,Android,mobile,6.0,Chrome WebView,59.0.3071.125,1
PS,Ramallah,35.1999,31.9014,AsadNet,185.142.56.0/22,Android,mobile,7.1.1,Chrome,65.0.3325.109,2
SA,Riman,44.3995,17.5502,"Etihad Etisalat, a joint stock company",5.246.0.0/16,Android,mobile,7.0,Chrome,63.0.3239.111,2
SA,Riyadh,46.7179,24.6569,"Etihad Etisalat, a joint stock company",37.216.0.0/15,Android,mobile,7.0,Chrome,65.0.3325.109,2
DZ,Ain Fakroun,6.8786,35.9701,Telecom Algeria,154.240.0.0/12,Android,mobile,4.4.2,Chrome,36.0.1985.135,1
AE,Dubai,55.3087,25.2633,Emirates Integrated Telecommunications Company PJSC,5.30.0.0/15,Android,mobile,6.0,Chrome,65.0.3325.109,2
NP,Kathmandu,85.3145,27.7142,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,tablet,6.0,Chrome,65.0.3325.109,1
PL,Wałbrzych,16.2757,50.7617,Polkomtel Sp. z o.o.,77.112.0.0/14,Android,mobile,6.0.1,Chrome,65.0.3325.109,2
US,St Louis,-90.2426,38.6745,SPCS,99.203.14.0/23,Android,mobile,8.0.0,Chrome WebView,65.0.3325.109,1
NP,Kathmandu,85.3145,27.7142,WorldLink Communications Pvt Ltd,202.79.32.0/19,Android,mobile,5.1,Chrome WebView,50.0.2661.86,1
IN,Lucknow,80.9115,26.8756,Reliance Jio Infocomm Limited,47.8.0.0/15,Android,mobile,6.0.1,UCBrowser,12.0.0.1088,1
SG,Singapore,103.6818,1.3078,DIGITALOCEAN-ASN,139.59.0.0/16,Android,mobile,5.1.1,UCBrowser,11.0.5.850,1
VN,Long Xuyen,105.4386,10.3841,VNPT Corp,113.160.0.0/11,Android,tablet,4.4.4,Chrome,60.4.3112.114,1
SA,Riyadh,46.7179,24.6569,"Etihad Etisalat, a joint stock company",37.216.0.0/15,Android,mobile,5.1.1,Chrome,65.0.3325.109,2
NP,Kathmandu,85.3145,27.7142,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,6.0,Chrome WebView,55.0.2883.91,1
MY,Kuala Lumpur,101.7034,3.1685,DiGi Telecommunications Sdn. Bhd.,115.164.0.0/16,Android,mobile,5.1,Android Browser,4.0,1
JO,Amman,35.939,31.9522,Batelco Jordan,5.45.128.0/20,Android,mobile,6.0,Chrome,65.0.3325.109,1
US,Philadelphia,-75.145,40.0359,T-MOBILE-AS21928,172.56.0.0/14,Android,mobile,7.0,Chrome WebView,65.0.3325.109,1
US,North Hollywood,-118.4045,34.2003,T-MOBILE-AS21928,172.56.0.0/14,Android,mobile,6.0.1,Chrome WebView,62.0.3202.84,2
TN,Kasserine,8.8341,35.1668,TUNISIANA,154.104.0.0/13,Android,mobile,4.0.4,Android Browser,4.0,1
ID,Bantul,110.3273,-7.8878,PT Telekomunikasi Indonesia,36.72.0.0/13,Android,mobile,7.1.1,UCBrowser,12.2.5.1102,1
UY,Lagomar,-55.9879,-34.8364,Administracion Nacional de Telecomunicaciones,179.24.0.0/13,Android,mobile,4.1.2,Chrome,28.0.1500.94,2
TZ,Dar es Salaam,39.2847,-6.7963,airtel-tz-as,41.75.208.0/20,Android,mobile,6.0,Chrome,54.0.2840.85,2
TN,Kasserine,8.8341,35.1668,TUNISIANA,154.104.0.0/13,Android,mobile,6.0,Chrome,65.0.3325.109,1
KE,Nakuru,36.0689,-0.286,SAFARICOM-LIMITED,105.160.0.0/13,Android,mobile,4.4.2,Android Browser,4.0,1
NP,Kathmandu,85.3145,27.7142,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,7.0,Chrome,65.0.3325.109,1
MX,León,-101.6427,21.1025,"Mega Cable, S.A. de C.V.",177.228.32.0/19,Android,mobile,6.0,Chrome,65.0.3325.109,2
AE,Dubai,55.3087,25.2633,Emirates Integrated Telecommunications Company PJSC,5.30.0.0/15,Android,mobile,6.0,UCBrowser,11.0.5.850,2
AE,Dubai,55.3087,25.2633,Emirates Integrated Telecommunications Company PJSC,5.30.0.0/15,Android,mobile,7.0,Chrome,63.0.3239.111,2
PL,Warsaw,21.0026,52.2484,Polkomtel Sp. z o.o.,31.0.0.0/15,Android,mobile,5.1,Android Browser,4.0,1
US,The Bronx,-73.8813,40.8438,T-MOBILE-AS21928,172.56.0.0/14,Android,mobile,6.0.1,Chrome WebView,65.0.3325.109,2
SA,Riyadh,46.7179,24.6569,"Etihad Etisalat, a joint stock company",37.42.0.0/15,Android,mobile,6.0,Chrome,65.0.3325.109,2
IN,Chennai,80.2209,12.8996,Reliance Jio Infocomm Limited,157.48.0.0/14,Android,mobile,6.0.1,UCBrowser,12.2.1.1108,2
IN,Lucknow,80.9115,26.8756,Reliance Jio Infocomm Limited,47.8.0.0/15,Android,mobile,6.0.1,UCBrowser,12.0.0.1088,2
DZ,El Oued,4.1667,35.9833,Optimum-Telecom-Algeria,129.45.0.0/17,Android,mobile,6.0,Chrome WebView,49.0.2623.105,2
TR,Malatya,38.3049,38.4088,Turk Telekom,78.190.128.0/17,Android,mobile,7.0,Chrome,65.0.3325.109,1
AR,Rosario,-60.6634,-32.954,Telecom Argentina S.A.,181.8.0.0/15,Android,mobile,4.4.2,Android Browser,4.0,2
TR,Eskişehir,30.5345,39.7302,Turk Telekom,81.213.184.0/21,Android,mobile,7.0,Chrome,65.0.3325.109,1
AR,Rosario,-60.6634,-32.954,Telecom Argentina S.A.,181.8.0.0/15,Windows Phone,mobile,8.1,IEMobile,11.0,2
US,Delta,-108.0651,38.7369,BRESNAN-33588,98.127.0.0/16,Android,mobile,6.0.1,Chrome,65.0.3325.109,2
PK,Lahore,74.3292,31.5822,Pakistan Telecommunication Company Limited,182.176.0.0/13,Android,mobile,7.0,Chrome,65.0.3325.109,1
PE,Trujillo,-79.0355,-8.1191,America Movil Peru S.A.C.,179.6.0.0/15,Android,mobile,6.0.1,Chrome WebView,65.0.3325.109,2
CZ,Hlavni mesto Praha,14.467,50.0805,T-Mobile Czech Republic a.s.,89.24.0.0/18,BlackBerry,mobile,10,Mobile Safari,10.3.3.2163,2
DZ,Boudjima,4.1467,36.8098,Telecom Algeria,105.96.0.0/12,Android,mobile,4.4.2,Android Browser,4.0,2
US,Wichita Falls,-98.5252,33.8654,TWC-11427-TEXAS,66.68.0.0/15,Windows,desktop,8.1,Firefox,58.0,1
US,Brooklyn,-73.9235,40.7035,T-MOBILE-AS21928,172.56.0.0/14,Android,mobile,7.0,Chrome WebView,64.0.3282.137,2
IN,New Delhi,77.2204,28.6328,Reliance Jio Infocomm Limited,139.167.0.0/16,Android,mobile,7.1.1,UCBrowser,12.2.5.1102,2
IN,Mumbai,72.8856,19.0748,Reliance Jio Infocomm Limited,47.8.0.0/15,Android,mobile,6.0,Chrome,64.0.3282.137,2
IN,Barsat,77.0504,29.5078,Reliance Jio Infocomm Limited,157.32.0.0/12,Android,mobile,5.1.1,UCBrowser,12.2.5.1102,2
IT,Senise,16.284,40.1459,Vodafone Italia S.p.A.,176.244.0.0/14,Android,tablet,4.4.2,Chrome,65.0.3325.109,1
ID,Jakarta,106.8296,-6.1741,PT. Telekomunikasi Selular,182.0.0.0/12,Android,mobile,5.1,Chrome,50.0.2661.89,2
DZ,Algiers,3.0459,36.7624,wataniya-telecom-as,105.235.128.0/20,Android,mobile,5.1,Chrome WebView,65.0.3325.109,2
UA,Zhytomyr,28.6722,50.262,Kyivstar PJSC,37.115.0.0/16,Android,mobile,6.0,Chrome WebView,65.0.3325.109,1
NP,Itahari,87.2878,26.6661,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,5.1.1,Chrome,65.0.3325.109,1
IN,Ahmedabad,72.5871,23.0276,Reliance Jio Infocomm Limited,49.32.0.0/13,Android,tablet,7.1.1,Chrome,65.0.3325.109,2
MY,Kuala Lumpur,101.6747,3.1191,Binariang Berhad,113.210.0.0/15,Android,mobile,5.1,Chrome WebView,64.0.3282.137,2
KE,Nairobi,36.8155,-1.2841,JTL,197.232.0.0/16,Android,mobile,5.1.1,Opera,37.0.2192.110129,2
DZ,Algiers,3.0459,36.7624,wataniya-telecom-as,105.235.128.0/20,Android,mobile,5.1,Chrome,46.0.2490.76,2
SA,Riyadh,46.7179,24.6569,"Etihad Etisalat, a joint stock company",46.153.0.0/17,Android,mobile,5.1.1,Chrome,65.0.3325.109,2
NP,Itahari,87.2878,26.6661,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,5.1.1,Chrome,65.0.3325.109,2
SA,Jeddah,39.2192,21.5168,"Etihad Etisalat, a joint stock company",5.108.0.0/14,Android,mobile,6.0.1,Chrome,65.0.3325.109,1
NP,Itahari,87.2878,26.6661,WorldLink Communications Pvt Ltd,27.34.0.0/17,Android,mobile,7.1.1,Chrome,65.0.3325.109,2
NG,Lagos,3.3903,6.4474,MTN NIGERIA Communication limited,197.210.0.0/16,Android,mobile,5.1,Android Browser,4.0,1
TR,Istanbul,28.9757,41.0197,Tellcom Iletisim Hizmetleri A.s.,176.88.0.0/20,Android,mobile,6.0.1,Chrome,65.0.3325.109,1
ZA,Pretoria,28.2604,-25.7599,MTN Business Solutions,41.114.0.0/16,Android,mobile,5.1.1,Chrome,64.0.3282.137,2
